KEGGID	ENTREZID	DESCRPTION
264	hsa00061	27349	Fatty acid biosynthesis
265	hsa00061	31	Fatty acid biosynthesis
266	hsa00061	32	Fatty acid biosynthesis
267	hsa00061	51102	Fatty acid biosynthesis
268	hsa00061	51703	Fatty acid biosynthesis
269	hsa00061	54995	Fatty acid biosynthesis
270	hsa00061	55301	Fatty acid biosynthesis
271	hsa00061	7923	Fatty acid biosynthesis
272	hsa00061	81616	Fatty acid biosynthesis
273	hsa00061	84869	Fatty acid biosynthesis
274	hsa00062	10449	Fatty acid elongation
275	hsa00062	10965	Fatty acid elongation
276	hsa00062	11332	Fatty acid elongation
277	hsa00062	117145	Fatty acid elongation
278	hsa00062	122970	Fatty acid elongation
279	hsa00062	1892	Fatty acid elongation
280	hsa00062	201562	Fatty acid elongation
281	hsa00062	284486	Fatty acid elongation
282	hsa00062	3030	Fatty acid elongation
283	hsa00062	3032	Fatty acid elongation
284	hsa00062	3033	Fatty acid elongation
285	hsa00062	401494	Fatty acid elongation
286	hsa00062	51102	Fatty acid elongation
287	hsa00062	51144	Fatty acid elongation
288	hsa00062	51495	Fatty acid elongation
289	hsa00062	54898	Fatty acid elongation
290	hsa00062	5538	Fatty acid elongation
291	hsa00062	60481	Fatty acid elongation
292	hsa00062	641371	Fatty acid elongation
293	hsa00062	64834	Fatty acid elongation
294	hsa00062	6785	Fatty acid elongation
295	hsa00062	79071	Fatty acid elongation
296	hsa00062	79993	Fatty acid elongation
297	hsa00062	83401	Fatty acid elongation
298	hsa00062	9200	Fatty acid elongation
299	hsa00062	9374	Fatty acid elongation
300	hsa00062	9524	Fatty acid elongation
301	hsa00071	10449	Fatty acid degradation
302	hsa00071	10455	Fatty acid degradation
303	hsa00071	113612	Fatty acid degradation
304	hsa00071	124	Fatty acid degradation
305	hsa00071	125	Fatty acid degradation
306	hsa00071	126	Fatty acid degradation
307	hsa00071	126129	Fatty acid degradation
308	hsa00071	127	Fatty acid degradation
309	hsa00071	128	Fatty acid degradation
310	hsa00071	130	Fatty acid degradation
311	hsa00071	131	Fatty acid degradation
312	hsa00071	1374	Fatty acid degradation
313	hsa00071	1375	Fatty acid degradation
314	hsa00071	1376	Fatty acid degradation
315	hsa00071	1632	Fatty acid degradation
316	hsa00071	1892	Fatty acid degradation
317	hsa00071	1962	Fatty acid degradation
318	hsa00071	217	Fatty acid degradation
319	hsa00071	2180	Fatty acid degradation
320	hsa00071	2181	Fatty acid degradation
321	hsa00071	2182	Fatty acid degradation
322	hsa00071	219	Fatty acid degradation
323	hsa00071	223	Fatty acid degradation
324	hsa00071	224	Fatty acid degradation
325	hsa00071	23205	Fatty acid degradation
326	hsa00071	23305	Fatty acid degradation
327	hsa00071	2639	Fatty acid degradation
328	hsa00071	30	Fatty acid degradation
329	hsa00071	3030	Fatty acid degradation
330	hsa00071	3032	Fatty acid degradation
331	hsa00071	3033	Fatty acid degradation
332	hsa00071	33	Fatty acid degradation
333	hsa00071	34	Fatty acid degradation
334	hsa00071	35	Fatty acid degradation
335	hsa00071	36	Fatty acid degradation
336	hsa00071	37	Fatty acid degradation
337	hsa00071	38	Fatty acid degradation
338	hsa00071	39	Fatty acid degradation
339	hsa00071	501	Fatty acid degradation
340	hsa00071	51	Fatty acid degradation
341	hsa00071	51703	Fatty acid degradation
342	hsa00071	81616	Fatty acid degradation
343	hsa00071	8310	Fatty acid degradation
344	hsa00072	3155	Synthesis and degradation of ketone bodies
345	hsa00072	3157	Synthesis and degradation of ketone bodies
346	hsa00072	3158	Synthesis and degradation of ketone bodies
347	hsa00072	38	Synthesis and degradation of ketone bodies
348	hsa00072	39	Synthesis and degradation of ketone bodies
349	hsa00072	5019	Synthesis and degradation of ketone bodies
350	hsa00072	54511	Synthesis and degradation of ketone bodies
351	hsa00072	56898	Synthesis and degradation of ketone bodies
352	hsa00072	622	Synthesis and degradation of ketone bodies
353	hsa00072	64064	Synthesis and degradation of ketone bodies
354	hsa00100	1056	Steroid biosynthesis
355	hsa00100	10682	Steroid biosynthesis
356	hsa00100	120227	Steroid biosynthesis
357	hsa00100	1591	Steroid biosynthesis
358	hsa00100	1594	Steroid biosynthesis
